,Shipment_ID,Week,Warehouse_ID,Store_ID,Carrier,Product_Category,Weight_kg,Delivery_Time_hrs,Fuel_Price_EUR_per_litre,Temperature_C,Promo_Flag,On_Time_Flag,Weekly_Sales_EUR,Notes,Dispatch_Time,Planned_Arrival_Time,Actual_Arrival_Time
199,SH00199,2024-05-12,B,S11,C3,Clothing,14.265,23.8,1.6,6.9,0,0,47881.33,No issue,INVALID_DATE,INVALID_DATE,INVALID_DATE
200,SH00200,2024-01-21,A,S08,C3,Clothing,23.56,22.5,1.67,4.1,0,0,57673.18,Damaged carton,,,
201,SH00201,2024-05-12,D,S09,C1,Grocery,11.53,27.5,1.67,8.6,1,1,39290.96,No issue,,,
202,SH00202,2024-05-19,B,S04,C4,Frozen,1.46,25.0,1.79,5.6,0,0,46997.84,No issue,,,
203,SH00203,2024-02-18,A,S01,C3,Frozen,7.93,27.7,1.63,3.8,0,0,30698.76,No issue,,,
204,SH00204,2024-05-19,A,S01,C3,Grocery,16.31,31.2,1.74,6.9,0,0,55326.56,No issue,,,
205,SH00205,2024-03-03,C,S03,C1,Grocery,9.13,30.9,1.67,6.2,0,0,31256.56,Partial delivery,,,
206,SH00206,2024-01-07,A,S05,C2,Electronics,14.47,25.9,1.63,1.7,0,0,58561.37,Partial delivery,,,
207,SH00207,2024-02-25,B,S05,C2,Frozen,17.03,29.4,1.67,2.9,0,0,40741.79,Partial delivery,,,
208,SH00208,2024-02-18,B,S09,C4,Frozen,13.91,33.2,1.73,4.8,0,0,4878.78,No issue,,,
209,SH00209,2024-05-05,C,S10,C2,Grocery,12.03,27.7,1.79,1.8,0,0,63906.37,Damaged carton,,,
210,SH00210,2024-02-25,B,S12,C2,Grocery,15.06,27.7,1.67,9.2,0,0,59410.6,No issue,,,
211,SH00211,2024-01-07,D,S02,C4,Electronics,15.13,27.7,1.58,6.6,0,0,72294.13,No issue,,,
212,SH00212,2024-03-17,B,S02,C1,Electronics,2.61,36.6,1.8,4.9,0,0,20648.22,Partial delivery,,,
213,SH00213,2024-05-05,B,S06,C2,Grocery,10.88,16.1,1.61,4.3,0,0,42181.76,Partial delivery,,,
214,SH00214,2024-03-10,A,S09,C1,Frozen,9.43,28.5,1.73,3.8,1,1,53973.89,Damaged carton,,,
215,SH00215,2024-01-21,A,S01,C3,Clothing,13.56,26.4,1.7,1.1,0,0,60575.59,Partial delivery,,,
216,SH00216,2024-02-18,B###,S09-X,C4,Clothing,13.72,27.4,1.68,1.5,0,0,30056.74,Partial delivery,,,
217,SH00217,2024-04-21,C,S09,C1,Frozen,20.76,24.0,1.65,8.8,0,1,58471.9,No issue,,,
218,SH00218,2024-04-21,A,S09,C4,Clothing,24.5,30.0,1.76,8.1,0,0,43423.35,Partial delivery,,,
219,SH00219,2024-05-19,C,S05,C1,Electronics,8.29,19.0,1.34,3.8,0,0,24173.82,Driver delay,,,
220,SH00220,2024-04-28,B,S09,C4,Electronics,26.96,30.0,1.81,6.8,0,0,40739.79,No issue,,,
221,SH00221,2024-01-14,B,S11,C3,Grocery,10.32,27.7,1.61,6.0,0,0,59715.66,Partial delivery,,,
222,SH00222,2024-01-07,D,S04,C4,Clothing,16.04,25.5,1.74,6.2,0,0,24800.53,No issue,,,
223,SH00223,2024-04-21,A,S02,C1,Grocery,18.07,30.2,1.74,2.1,0,1,61555.78,No issue,,,
224,SH00224,2024-03-24,B,S06,C4,Clothing,29.67,28.4,1.83,1.4,0,0,56250.67,Driver delay,,,
225,SH00225,2024-02-04,D,S04,C3,Grocery,11.75,33.3,1.72,7.4,0,0,48192.11,Driver delay,,,
226,SH00226,2024-02-04,A,S06,C2,Grocery,4.22,23.2,1.62,1.0,0,0,27472.04,No issue,,,
227,SH00227,2024-03-03,B,S03,C4,Grocery,23.94,27.6,1.54,4.7,0,1,28675.77,Partial delivery,,,
228,SH00228,2024-03-03,B,S06,C1,Grocery,10.0,32.4,1.6949999999999998,4.3,0,0,46022.78,No issue,,,
229,SH00229,2024-01-21,A,S02,C4,Clothing,12.83,27.7,1.5,4.1,0,0,35125.9,No issue,,,
230,SH00230,2024-05-12,A,S02,C1,Clothing,8.29,30.1,1.6949999999999998,5.6,0,0,46993.62,No issue,,,
231,SH00231,2024-04-21,A,S09,C3,Electronics,12.85,33.5,1.67,3.6,0,0,65592.73,No issue,,,
232,SH00232,2024-04-21,B,S07,C2,Grocery,9.96,26.0,1.63,4.9,0,1,47904.68,No issue,,,
233,SH00233,2024-01-21,B,S03,C1,Grocery,19.06,40.1,1.7,5.3,1,0,47493.33,Partial delivery,,,
234,SH00234,2024-05-19,D,S11,C1,Grocery,15.48,30.9,1.68,9.2,0,0,47505.21,No issue,,,
235,SH00235,2024-01-07,C,S01,C1,Grocery,15.06,27.7,1.67,2.2,0,0,67201.03,No issue,,,
236,SH00236,2024-05-19,A,S08,C2,Frozen,20.98,33.6,1.46,5.1,0,0,71400.55,Damaged carton,,,
237,SH00237,2024-03-17,B,S06,C2,Grocery,16.53,29.8,1.57,4.9,0,0,58329.01,No issue,,,
238,SH00238,2024-04-28,B,S07,C3,Grocery,3.92,24.9,1.76,4.5,0,0,54048.87,No issue,,,
239,SH00239,2024-02-25,A,S09,C1,Grocery,20.52,29.7,1.6949999999999998,2.3,0,0,55443.44,No issue,,,
240,SH00240,2024-01-28,C,S05,C1,Grocery,16.11,23.5,1.52,7.5,0,0,73419.28,No issue,,,
241,SH00241,2024-02-11,A,S01,C3,Electronics,23.34,32.7,1.62,5.7,0,1,59143.79,Driver delay,,,
242,SH00242,2024-02-25,C-X,S12 ,C1,Electronics,15.74,21.0,1.6949999999999998,2.5,0,0,74836.58,No issue,,,
243,SH00243,2024-05-19,B,S10,C4,Grocery,10.25,27.7,1.63,5.9,0,1,45713.73,No issue,,,
244,SH00244,2024-01-21,C,S07,C4,Grocery,13.77,29.6,1.69,4.9,0,0,31966.46,No issue,,,
245,SH00245,2024-04-21,D,S05,C3,Grocery,19.82,27.2,1.84,4.9,0,0,41964.11,No issue,,,
246,SH00246,2024-01-21,B,S03,C3,Grocery,10.38,31.8,1.66,5.0,0,0,43558.05,Driver delay,,,
247,SH00247,2024-05-05,D,S12,C4,Grocery,12.36,30.6,1.65,8.1,0,0,76067.92,No issue,,,
248,SH00248,2024-04-07,A,S09,C1,Frozen,13.67,34.7,1.68,3.1,0,0,63046.21,Driver delay,,,
249,SH00249,2024-05-05,A,S01,C1,Electronics,15.015,34.6,1.89,8.5,0,0,42438.15,No issue,,,
250,SH00250,2024-01-14,A,S01,C1,Electronics,10.46,29.8,1.74,4.9,1,0,64126.17,Partial delivery,,,
251,SH00251,2024-01-21,C,S01,C3,Electronics,16.04,23.6,1.7,4.9,0,1,50056.28,No issue,,,
252,SH00252,2024-04-21,B,S03,C1,Electronics,22.21,25.3,1.65,4.9,0,0,76518.28,Damaged carton,,,
253,SH00253,2024-03-03,A,S12,C3,Electronics,16.9,27.6,1.75,4.0,1,0,46994.48,No issue,,,
254,SH00254,2024-01-28,A,S06,C4,Clothing,14.72,33.4,1.77,1.3,0,0,28916.66,No issue,,,
255,SH00255,2024-01-07,B,S10,C4,Clothing,10.01,25.7,1.59,5.5,0,0,49198.73,Partial delivery,,,
256,SH00256,2024-01-28,A,S11,C2,Grocery,21.57,26.1,1.77,3.2,1,0,47002.69,Damaged carton,,,
257,SH00257,2024-01-07,D,S03,C1,Electronics,17.6,37.2,1.68,5.6,0,0,31851.6,Partial delivery,,,
258,SH00258,2024-04-07,B,S08,C4,Electronics,10.76,27.5,1.7,2.4,0,0,60788.68,Partial delivery,,,
259,SH00259,2024-04-21,B,S10,C3,Frozen,20.39,24.8,1.61,4.9,0,0,73370.78,No issue,,,
260,SH00260,2024-05-19,B,S02,C1,Electronics,18.36,31.9,1.66,6.5,0,0,35162.74,Damaged carton,,,
261,SH00261,2024-02-25,D,S09,C1,Electronics,10.12,27.7,1.6,3.6,0,0,66590.66,Damaged carton,,,
262,SH00262,2024-02-18,B,S03,C4,Grocery,14.39,21.1,1.59,5.7,0,0,42900.54,No issue,,,
263,SH00263,2024-01-21,D,S05,C3,Electronics,12.04,40.1,1.74,5.2,1,0,51629.22,No issue,,,
264,SH00264,2024-04-28,B,S10,C4,Grocery,30.8,24.3,1.66,8.0,1,1,50053.42,Damaged carton,,,
265,SH00265,2024-01-07,C,S08,C4,Grocery,18.19,28.2,1.57,2.9,1,1,51629.34,Partial delivery,,,
266,SH00266,2024-04-21,A,S02,C3,Grocery,16.12,27.7,1.92,4.7,1,0,59096.24,No issue,,,
267,SH00267,2024-03-24,C,S06,C2,Clothing,17.84,29.2,1.59,3.7,1,0,36637.26,No issue,,,
268,SH00268,2024-05-12,A,S12,C2,Grocery,23.27,17.0,1.81,5.1,0,0,71399.5,No issue,,,
269,SH00269,2024-04-07,D,S05,C2,Grocery,14.5,26.3,1.55,6.1,0,1,59553.14,No issue,,,
270,SH00270,2024-02-11,C,S10,C2,Frozen,11.46,33.6,1.75,3.7,0,0,64533.74,No issue,,,
271,SH00271,2024-02-11,B-X,S09###,C3,Grocery,20.07,34.3,1.67,4.3,1,0,40299.01,No issue,,,
272,SH00272,2024-03-31,A,S12,C3,Electronics,13.95,23.0,1.64,6.9,0,1,35278.39,No issue,,,
273,SH00273,2024-05-12,A,S05,C4,Electronics,8.58,27.7,1.72,7.7,0,0,69740.7,No issue,,,
274,SH00274,2024-02-25,C,S02,C2,Grocery,15.06,27.7,1.71,6.0,0,0,34633.76,Partial delivery,,,
275,SH00275,2024-01-14,D,S05,C3,Clothing,24.18,26.1,1.62,4.9,0,1,54239.58,No issue,,,
276,SH00276,2024-01-07,C,S12,C3,Grocery,15.015,26.4,1.61,4.5,0,0,67284.94,No issue,,,
277,SH00277,2024-04-14,D,S04,C3,Electronics,11.46,28.5,1.54,6.1,0,1,50097.97,No issue,,,
278,SH00278,2024-01-07,D,S11,C3,Electronics,13.59,33.0,1.73,5.5,0,0,69551.16,Partial delivery,,,
279,SH00279,2024-02-04,A,S07,C1,Electronics,19.84,29.3,1.6949999999999998,1.7,0,1,47926.63,Driver delay,,,
280,SH00280,2024-04-21,C,S06,C2,Clothing,14.265,27.7,1.6949999999999998,6.1,0,0,32838.73,No issue,,,
281,SH00281,2024-05-12,C,S02,C1,Grocery,6.3,32.8,1.76,3.3,0,1,57612.59,No issue,,,
282,SH00282,2024-01-28,D,S12,C2,Grocery,16.96,24.0,1.72,2.2,0,0,54974.44,No issue,,,
283,SH00283,2024-01-21,C,S11,C2,Clothing,22.25,27.6,1.63,4.9,0,0,92319.64,No issue,,,
284,SH00284,2024-04-28,B,S11,C3,Electronics,21.85,33.0,1.79,4.6,0,0,37823.37,No issue,,,
285,SH00285,2024-04-28,B,S05,C4,Clothing,11.64,30.6,1.66,3.0,1,0,48222.29,No issue,,,
286,SH00286,2024-03-24,C,S07,C3,Clothing,22.62,25.7,1.57,0.3,0,0,41037.02,No issue,,,
287,SH00287,2024-04-07,C,S11,C3,Clothing,16.28,20.4,1.67,4.3,0,0,49862.73,Partial delivery,,,
288,SH00288,2024-02-11,D,S07,C2,Electronics,22.45,29.6,1.76,4.0,0,0,49257.96,Driver delay,,,
289,SH00289,2024-01-21,B,S05,C3,Grocery,18.44,20.1,1.63,4.7,0,0,38915.5,Damaged carton,,,
290,SH00290,2024-03-03,B,S12,C1,Clothing,5.87,40.1,1.79,3.7,1,0,59023.56,No issue,,,
291,SH00291,2024-02-04,A,S09,C1,Electronics,25.48,33.9,1.62,8.7,0,1,48787.84,No issue,,,
292,SH00292,2024-04-28,D,S04,C2,Grocery,15.31,31.0,1.64,6.0,0,0,72182.24,Damaged carton,,,
293,SH00293,2024-04-07,A,S11,C2,Frozen,18.46,40.1,1.6,4.0,0,0,42271.64,Driver delay,,,
294,SH00294,2024-01-21,B,S03,C1,Frozen,6.94,29.0,1.77,4.9,1,0,79920.6,No issue,,,
295,SH00295,2024-01-07,D,S04,C1,Electronics,18.03,26.4,1.69,7.8,0,0,56138.11,Driver delay,,,
296,SH00296,2024-05-19,C,S05,C1,Grocery,21.62,21.6,1.6,6.9,0,0,71070.0,No issue,,,
297,SH00297,2024-01-07,D,S06,C4,Grocery,15.015,29.7,1.66,2.2,0,0,53731.8,Damaged carton,,,
298,SH00298,2024-01-21,C,S03,C2,Clothing,23.4,25.5,1.6949999999999998,4.9,1,1,40290.18,Driver delay,,,
299,SH00299,2024-05-05,C,S02,C2,Frozen,18.33,27.7,1.78,3.4,0,0,48047.19,Damaged carton,,,
300,SH00300,2024-03-10,D,S04,C1,Grocery,5.73,28.6,1.68,4.1,0,0,31198.48,Partial delivery,,,
301,SH00301,2024-01-21,C,S05,C3,Grocery,15.79,24.9,1.46,4.9,0,0,50327.0,Driver delay,,,
302,SH00302,2024-02-25,A,S04,C1,Frozen,11.44,28.5,1.55,5.1,0,0,54581.39,No issue,,,
303,SH00303,2024-04-07,B,S11,C1,Grocery,16.41,25.0,1.66,6.5,0,0,52685.84,No issue,,,
304,SH00304,2024-05-05,C,S12,C2,Electronics,7.7,25.3,1.57,6.8,0,0,71952.36,Damaged carton,,,
305,SH00305,2024-04-14,A,S03,C1,Frozen,13.74,33.0,1.78,4.9,0,0,49762.99,No issue,,,
306,SH00306,2024-01-14,C,S08,C1,Grocery,11.9,33.5,1.74,1.7,1,0,23590.1,No issue,,,
307,SH00307,2024-03-10,B,S10,C1,Electronics,11.71,40.1,1.74,2.9,0,0,105160.98,Partial delivery,,,
308,SH00308,2024-01-14,A,S04,C1,Grocery,11.77,31.7,1.44,4.9,0,1,41640.87,No issue,,,
309,SH00309,2024-04-28,B,S02,C1,Grocery,14.18,35.0,1.65,2.5,0,0,66531.18,No issue,,,
310,SH00310,2024-02-25,B,S02,C2,Clothing,16.72,27.7,1.63,7.3,0,0,29436.3,No issue,,,
311,SH00311,2024-01-07,A,S01,C4,Electronics,0.5,30.6,1.6949999999999998,2.6,1,0,55678.18,No issue,,,
312,SH00312,2024-03-03,A,S04,C3,Frozen,0.74,22.7,1.66,6.2,0,0,40081.81,Damaged carton,,,
313,SH00313,2024-03-17,A,S10,C2,Electronics,12.97,31.1,1.59,1.6,0,1,9660.48,No issue,,,
314,SH00314,2024-04-21,D,S09,C1,Grocery,13.81,23.7,1.72,6.3,1,0,47757.85,No issue,,,
315,SH00315,2024-02-18,A,S11,C4,Grocery,16.13,26.3,1.78,4.7,0,0,51249.02,Driver delay,,,
316,SH00316,2024-03-10,A,S07,C2,Grocery,10.63,29.9,1.77,8.0,1,1,48716.71,No issue,,,
317,SH00317,2024-01-21,A,S12,C1,Grocery,15.06,27.7,1.69,2.7,0,0,55646.7,Damaged carton,,,
318,SH00318,2024-05-05,A,S10,C3,Grocery,15.76,40.1,1.6949999999999998,3.9,1,0,47957.38,Driver delay,,,
319,SH00319,2024-03-31,C,S07,C1,Grocery,15.06,27.7,1.81,4.3,0,0,53037.25,No issue,,,
320,SH00320,2024-02-18,D,S07,C2,Electronics,21.08,27.7,1.69,4.7,0,0,54551.68,Partial delivery,,,
321,SH00321,2024-01-28,B,S08,C2,Clothing,16.06,34.2,1.65,4.3,1,0,51472.33,Partial delivery,,,
322,SH00322,2024-03-31,A,S01,C4,Clothing,18.28,40.1,1.83,4.3,0,0,49438.36,Partial delivery,,,
323,SH00323,2024-05-19,C,S10,C2,Clothing,15.41,32.9,1.8,4.3,0,0,38595.2,Damaged carton,,,
324,SH00324,2024-01-07,C,S10,C3,Grocery,27.62,31.2,1.56,0.9,0,0,60916.68,No issue,,,
325,SH00325,2024-02-25,C,S08,C4,Grocery,18.58,30.2,1.81,7.0,1,0,47755.04,No issue,,,
326,SH00326,2024-04-07,B,S04,C1,Clothing,12.07,32.5,1.68,10.7,0,0,46542.61,Driver delay,,,
327,SH00327,2024-04-21,A,S04,C1,Electronics,19.93,27.7,1.61,5.6,1,0,59684.41,No issue,,,
328,SH00328,2024-04-07,D,S04,C2,Grocery,5.17,27.7,1.5,2.7,0,0,55179.37,No issue,,,
329,SH00329,2024-03-24,D,S06,C2,Clothing,15.72,27.6,1.67,2.9,0,1,41526.7,No issue,,,
330,SH00330,2024-05-12,C,S07,C2,Clothing,16.91,28.4,1.7,6.2,1,1,70759.88,No issue,,,
331,SH00331,2024-04-14,B,S06,C4,Electronics,15.79,25.7,1.86,5.8,0,1,34161.64,Partial delivery,,,
332,SH00332,2024-01-14,B,S01,C3,Grocery,13.0,30.6,1.8,4.4,0,1,36527.88,No issue,,,
333,SH00333,2024-01-14,B,S12,C3,Clothing,14.265,23.9,1.64,6.5,0,0,62025.31,No issue,,,
334,SH00334,2024-05-12,D-X,S08_err,C2,Electronics,10.26,25.3,1.74,0.9,0,0,78267.03,Driver delay,,,
335,SH00335,2024-04-28,C,S10,C4,Clothing,15.61,24.7,1.78,6.5,0,0,43338.97,No issue,,,
336,SH00336,2024-05-19,A,S11,C4,Clothing,8.32,27.7,1.71,5.5,1,0,58192.32,Driver delay,,,
337,SH00337,2024-03-10,D,S07,C4,Clothing,25.62,27.9,1.64,3.0,0,0,34114.55,Driver delay,,,
338,SH00338,2024-02-11,C,S06,C1,Electronics,0.5,27.7,1.65,2.1,0,0,38065.22,No issue,,,
339,SH00339,2024-04-14,C,S06,C3,Grocery,13.06,26.1,1.74,4.9,0,0,68982.97,Driver delay,,,
340,SH00340,2024-03-17,A,S05,C1,Clothing,15.66,28.0,1.74,7.8,0,1,57486.45,Driver delay,,,
341,SH00341,2024-02-04,A,S06,C1,Electronics,18.04,36.1,1.6949999999999998,4.5,0,0,69448.45,No issue,,,
342,SH00342,2024-01-07,A,S12,C1,Clothing,9.5,21.8,1.44,3.3,1,0,68294.63,No issue,,,
343,SH00343,2024-02-25,B,S09,C3,Grocery,21.81,31.4,1.6949999999999998,5.4,0,1,20656.75,Damaged carton,,,
344,SH00344,2024-03-24,A,S10,C3,Grocery,6.64,30.4,1.76,8.6,0,0,34060.68,No issue,,,
345,SH00345,2024-03-24,C,S09,C1,Frozen,11.6,23.6,1.49,5.9,0,0,56117.14,Partial delivery,,,
346,SH00346,2024-02-04,A,S10,C2,Clothing,18.72,27.7,1.82,6.1,0,0,26543.65,No issue,,,
347,SH00347,2024-02-18,C,S08,C2,Frozen,21.24,30.7,1.8,7.4,1,0,36185.42,Partial delivery,,,
348,SH00348,2024-01-28,D,S10,C2,Clothing,14.265,25.5,1.7,5.9,0,0,73404.51,Damaged carton,,,
349,SH00349,2024-02-11,B,S09,C1,Electronics,30.87,18.7,1.76,3.4,0,0,43876.51,Partial delivery,,,
350,SH00350,2024-03-31,D,S10,C2,Clothing,9.62,29.1,1.75,4.9,0,0,62654.48,Driver delay,,,
351,SH00351,2024-05-19,D,S08,C3,Frozen,14.25,27.8,1.69,3.2,0,0,51577.48,Damaged carton,,,
352,SH00352,2024-04-14,C,S08,C1,Electronics,18.02,27.7,1.56,4.9,0,1,41800.96,No issue,,,
353,SH00353,2024-01-21,D,S01,C1,Electronics,12.91,27.7,1.8,6.3,0,1,27036.86,Driver delay,,,
354,SH00354,2024-02-25,C,S10,C2,Grocery,12.02,32.3,1.84,6.6,1,0,55499.53,Partial delivery,,,
355,SH00355,2024-05-19,A,S11,C4,Electronics,18.57,18.2,1.58,5.4,1,0,73819.08,No issue,,,
356,SH00356,2024-04-21,A,S05,C3,Clothing,14.265,40.1,1.56,2.5,0,1,42227.09,No issue,,,
357,SH00357,2024-03-31,C,S04,C3,Grocery,4.79,27.1,1.69,8.6,0,1,53028.98,No issue,,,
358,SH00358,2024-05-05,A,S02,C2,Grocery,11.42,30.5,1.64,4.2,0,1,29203.17,No issue,,,
359,SH00359,2024-03-10,B,S08,C3,Grocery,21.47,26.5,1.71,6.2,1,1,41917.37,Damaged carton,,,
360,SH00360,2024-05-12,D,S03,C1,Grocery,11.68,29.5,1.82,5.1,1,0,57113.22,No issue,,,
361,SH00361,2024-04-28,B,S04,C3,Grocery,15.015,24.3,1.48,5.4,0,0,63155.74,Driver delay,,,
362,SH00362,2024-05-12,D,S12,C4,Electronics,22.21,27.8,1.86,6.1,0,0,60339.23,Driver delay,,,
363,SH00363,2024-02-04,A,S07,C3,Frozen,16.7,40.1,1.66,3.6,0,0,21526.73,No issue,,,
364,SH00364,2024-03-03,B,S10,C4,Electronics,17.04,28.8,1.75,7.6,0,0,45145.98,No issue,,,
365,SH00365,2024-03-24,A,S09,C3,Grocery,16.69,29.9,1.76,1.8,0,0,37490.78,No issue,,,
366,SH00366,2024-01-07,D,S02,C1,Grocery,15.96,23.4,1.77,2.9,0,0,47364.58,Driver delay,,,
367,SH00367,2024-01-07,C,S03,C4,Clothing,12.8,25.0,1.71,7.6,0,0,50332.13,Damaged carton,,,
368,SH00368,2024-04-14,C,S04,C1,Grocery,13.5,25.1,1.73,4.9,0,0,67995.28,No issue,,,
369,SH00369,2024-01-14,B,S10,C2,Clothing,14.265,26.6,1.73,10.1,0,0,56428.56,No issue,,,
370,SH00370,2024-04-21,A,S01,C1,Clothing,1.74,40.1,1.64,5.1,0,0,73267.48,No issue,,,
371,SH00371,2024-02-25,A,S07,C1,Clothing,14.265,27.7,1.52,8.4,0,0,41507.35,Partial delivery,,,
372,SH00372,2024-03-31,B,S02,C2,Grocery,15.94,27.7,1.58,1.3,0,0,30743.85,Partial delivery,,,
373,SH00373,2024-01-07,C,S05,C1,Clothing,15.04,30.7,1.69,2.2,0,1,73828.64,No issue,,,
374,SH00374,2024-04-21,D,S01,C2,Grocery,17.39,34.7,1.62,6.8,0,0,58501.83,No issue,,,
375,SH00375,2024-02-18,B,S03,C3,Frozen,10.03,21.7,1.62,1.5,0,0,40850.92,No issue,,,
376,SH00376,2024-02-04,D,S12,C1,Electronics,8.99,37.9,1.88,4.6,0,0,58567.34,Driver delay,,,
377,SH00377,2024-01-21,C,S02,C1,Grocery,13.3,30.1,1.79,4.9,0,0,64528.89,Driver delay,,,
378,SH00378,2024-03-24,A,S01,C3,Grocery,23.21,27.7,1.67,6.0,0,0,53787.86,No issue,,,
379,SH00379,2024-04-21,C,S07,C2,Grocery,7.99,35.3,1.77,5.0,0,0,41064.45,Partial delivery,,,
380,SH00380,2024-05-12,B,S05,C3,Clothing,14.265,32.9,1.66,4.1,0,0,45381.06,No issue,,,
381,SH00381,2024-02-04,A,S01,C3,Grocery,11.87,27.4,1.71,5.4,0,0,56359.32,No issue,,,
382,SH00382,2024-04-07,B,S06,C4,Electronics,21.86,27.7,1.6949999999999998,6.2,0,0,54983.32,No issue,,,
383,SH00383,2024-02-04,B,S05,C3,Grocery,4.6,29.3,1.66,3.7,0,1,70183.9,Partial delivery,,,
384,SH00384,2024-04-14,C,S03,C2,Clothing,7.92,33.5,1.63,4.9,0,0,47861.35,No issue,,,
385,SH00385,2024-04-28,B,S12,C3,Clothing,16.58,34.0,1.82,7.2,0,0,37543.59,No issue,,,
386,SH00386,2024-04-07,C,S07,C1,Clothing,30.42,22.5,1.76,4.6,0,0,90655.81,No issue,,,
387,SH00387,2024-05-19,A,S11,C2,Clothing,6.85,32.0,1.47,5.1,0,0,54617.32,Partial delivery,,,
388,SH00388,2024-02-04,C,S10,C3,Grocery,15.06,27.1,1.63,6.0,0,0,64513.94,No issue,,,
389,SH00389,2024-03-24,A,S09,C2,Grocery,17.03,28.7,1.62,6.1,1,0,59827.73,No issue,,,
390,SH00390,2024-04-21,C,S09,C3,Clothing,15.015,28.6,1.64,6.8,0,0,54798.62,No issue,,,
391,SH00391,2024-04-21,D,S09,C4,Grocery,11.26,28.4,1.79,3.0,0,0,48583.84,Partial delivery,,,
392,SH00392,2024-02-18,D,S02,C4,Electronics,5.27,35.6,1.7,3.9,0,0,9942.76,No issue,,,
393,SH00393,2024-01-28,B,S03,C4,Grocery,15.015,21.2,1.6949999999999998,4.0,1,0,36051.68,No issue,,,
394,SH00394,2024-01-07,C,S07,C2,Grocery,18.69,19.4,1.66,3.2,0,0,56936.79,Damaged carton,,,
395,SH00395,2024-02-04,C,S05,C2,Grocery,25.67,18.3,1.75,1.4,0,0,11215.4,No issue,,,
396,SH00396,2024-03-10,A,S02,C3,Frozen,18.94,33.3,1.68,-1.5,1,0,53074.28,Partial delivery,,,
397,SH00397,2024-02-04,B,S03,C2,Grocery,19.97,24.1,1.64,7.4,0,0,61918.46,No issue,,,
